Time,Channel A,Channel B
(s),(mV),(V)

0.02442974,5.99688700,-0.00091556
0.02450118,6.02740500,-0.00286874
0.02457261,7.55333000,0.00210578
0.02464404,7.81273800,-0.00143437
0.02471547,7.91955300,-0.00106815
0.02478690,3.06711000,-0.00128178
0.02485834,5.23392400,-0.00030519
0.02492977,6.28681300,-0.00347911
0.02500120,4.01318400,-0.00228889
0.02507263,8.60621900,-0.00241096
0.02514406,5.26444200,0.00000000
0.02521550,5.56962800,-0.00024415
0.02528693,5.34073900,0.00006104
0.02535836,4.85244300,-0.00085452
0.02542979,6.89718300,-0.00085452
0.02550122,2.88399900,-0.00024415
0.02557266,4.95925800,-0.00128178
0.02564409,6.79036800,0.00283822
0.02571552,7.70592300,-0.00128178
0.02578695,6.82088700,0.00042726
0.02585838,4.47096200,0.00119022
0.02592982,10.01007000,0.00021363
0.02600125,8.04162700,-0.00024415
0.02607268,5.00503500,0.00051881
0.02614411,5.41703500,-0.00198370
0.02621554,7.81273800,0.00042726
0.02628698,4.28785000,-0.00122074
0.02635841,6.22577600,-0.00137333
0.02642984,7.81273800,0.00036622
0.02650127,4.16577600,-0.00106815
0.02657270,6.56147900,-0.00054933
0.02664414,5.15762800,0.00012207
0.02671557,4.36414700,-0.00286874
0.02678700,2.60933200,-0.00091556
0.02685843,4.62355400,-0.00158696
0.02692986,8.04162700,0.00027467
0.02700130,7.04977500,0.00057985
0.02707273,4.69985000,-0.00173956
0.02714416,6.28681300,-0.00256356
0.02721559,4.59303500,-0.00045778
0.02728702,5.31022000,-0.00158696
0.02735846,9.10977400,-0.00128178
0.02742989,3.90636900,-0.00317393
0.02750132,6.40888600,-0.00296030
0.02757275,8.91140500,-0.00204474
0.02764418,5.99688700,-0.00228889
0.02771562,6.89718300,0.00140385
0.02778705,5.26444200,-0.00213630
0.02785848,7.09555300,0.00140385
0.02792991,6.17999800,0.00006104
0.02800134,8.45362700,0.00057985
0.02807278,4.95925800,-0.00091556
0.02814421,5.31022000,-0.00219733
0.02821564,5.95110900,-0.00384533
0.02828707,8.72829300,0.00112919
0.02835850,3.60118400,-0.00009156
0.02842994,3.67748000,-0.00250252
0.02850137,5.11185000,-0.00326548
0.02857280,5.61540600,-0.00009156
0.02864423,5.69170200,-0.00265511
0.02871566,3.40281400,-0.00100711
0.02878710,5.49333100,0.00299081
0.02885853,7.99584900,0.00042726
0.02892996,7.43125700,-0.00106815
0.02900139,4.31836900,0.00329600
0.02907282,6.79036800,0.00027467
0.02914426,8.07214500,0.00262459
0.02921569,7.17184900,-0.00054933
0.02928712,6.07318300,-0.00039674
0.02935855,5.15762800,0.00134281
0.02942998,8.30103400,0.00057985
0.02950142,4.24207300,-0.00009156
0.02957285,5.11185000,0.00119022
0.02964428,7.09555300,-0.00015259
0.02971571,7.40073800,-0.00280770
0.02978714,4.62355400,-0.00039674
0.02985858,4.73036900,0.00097659
0.02993001,7.27866400,-0.00061037
0.03000144,7.78221900,-0.00302133
0.03007287,4.05896100,-0.00234993
0.03014430,6.94296000,-0.00369274
0.03021574,6.59199800,0.00057985
0.03028717,5.03555400,-0.00091556
0.03035860,6.02740500,-0.00085452
0.03043003,8.30103400,0.00012207
0.03050146,4.24207300,-0.00122074
0.03057289,4.73036900,-0.00030519
0.03064433,2.65511000,-0.00317393
0.03071576,6.97347900,-0.00061037
0.03078719,5.08133200,-0.00091556
0.03085862,4.92873900,-0.00115970
0.03093005,5.99688700,0.00000000
0.03100149,7.58384900,0.00155644
0.03107292,6.79036800,-0.00115970
0.03114435,3.83007300,-0.00198370
0.03121578,5.11185000,0.00268563
0.03128721,6.71407200,0.00000000
0.03135865,5.31022000,-0.00115970
0.03143008,4.95925800,-0.00091556
0.03150151,6.28681300,-0.00085452
0.03157294,5.95110900,-0.00015259
